country,Clockwise,Counter-Clockwise
Croatia,0.114391144,0.885608856
Thailand,0.367277665,0.632722335
France,0.113539769,0.886460231
New Zealand,0.157088123,0.842911877
Hungary,0.200331126,0.799668874
Finland,0.135448137,0.864551863
India,0.122692725,0.877307275
Canada,0.170181818,0.829818182
Japan,0.80162413,0.19837587
Philippines,0.098841172,0.901158828
Saudi Arabia,0.345253576,0.654746424
Ukraine,0.183098592,0.816901408
United Kingdom,0.141055582,0.858944418
Slovakia,0.097222222,0.902777778
Poland,0.134627832,0.865372168
Netherlands,0.12275215,0.87724785
Italy,0.180145008,0.819854992
"Korea, Republic of",0.282995703,0.717004297
Germany,0.119910067,0.880089933
Taiwan,0.568726356,0.431273644
Brazil,0.198529412,0.801470588
Russian Federation,0.208029197,0.791970803
Czechia,0.126785714,0.873214286
Malaysia,0.181380417,0.818619583
Ireland,0.167896679,0.832103321
Austria,0.134653465,0.865346535
United States,0.147390889,0.852609111
United Arab Emirates,0.283837057,0.716162943
Romania,0.160090192,0.839909808
Indonesia,0.133997785,0.866002215
Viet Nam,0.055780933,0.944219067
Sweden,0.16503428,0.83496572
Norway,0.129807692,0.870192308
Australia,0.150392817,0.849607183
Turkey,0.166666667,0.833333333
