,clockwise,counter_clockwise
Belarus,67,90
Uganda,2,0
Hong Kong,108,398
Uruguay,15,14
Guadeloupe,2,3
Kyrgyzstan,8,10
Luxembourg,17,17
Philippines,632,808
Peru,47,56
"Taiwan, Province of China",56,661
Malawi,0,1
American Samoa,1,0
Puerto Rico,37,30
Denmark,188,236
Spain,216,233
Ghana,0,1
United Kingdom,3920,4842
Malaysia,212,411
Faroe Islands,4,0
Brunei Darussalam,9,22
Bahamas,11,5
El Salvador,10,8
Morocco,65,57
Barbados,6,1
San Marino,1,4
Bangladesh,30,33
Cambodia,66,61
Sweden,1023,1161
Libya,2,5
Monaco,1,1
Aruba,3,1
Zambia,0,3
Nigeria,1,2
Latvia,80,104
Pakistan,77,57
Bahrain,56,39
Iceland,17,33
Saint Vincent and the Grenadines,1,1
New Caledonia,3,2
Nepal,16,18
United Arab Emirates,412,347
Bermuda,3,6
Burkina Faso,0,1
Italy,963,897
Namibia,1,4
North Macedonia,40,42
Cyprus,15,20
Maldives,4,8
Indonesia,453,532
Colombia,92,69
Argentina,145,133
Finland,783,1207
"Bolivia, Plurinational State of",9,7
Fiji,0,1
Kazakhstan,74,115
Algeria,94,86
"Venezuela, Bolivarian Republic of",24,25
Azerbaijan,21,9
Mongolia,5,9
Bulgaria,247,201
Saint Lucia,1,0
Mayotte,0,2
Iraq,145,85
Chile,93,69
Armenia,19,18
Thailand,724,578
Saint Martin (French part),0,1
Gibraltar,2,6
Sint Maarten (Dutch part),0,1
Somalia,2,2
Oman,29,20
United States,25022,29886
Cayman Islands,1,4
Slovakia,298,503
Trinidad and Tobago,31,14
Guyana,2,2
"Tanzania, United Republic of",2,1
New Zealand,250,301
Botswana,1,0
Ecuador,27,19
"Palestine, State of",26,25
Liechtenstein,3,0
Montenegro,19,12
France,704,884
Switzerland,153,258
Guam,17,11
Russian Federation,1037,1384
Greenland,1,0
Jordan,70,58
Bosnia and Herzegovina,116,142
Brazil,1545,1054
Costa Rica,18,22
Montserrat,1,0
Madagascar,1,1
French Polynesia,0,4
Marshall Islands,1,1
Belize,3,0
"Korea, Republic of",165,1480
Australia,1150,1562
Grenada,2,5
Ukraine,252,373
Israel,121,145
Suriname,3,5
Viet Nam,427,474
Macao,6,17
Honduras,10,10
Martinique,0,2
Portugal,182,247
Curaçao,1,8
Canada,1961,2260
Guatemala,8,10
Qatar,91,81
Isle of Man,3,3
South Africa,85,151
Austria,193,316
"Moldova, Republic of",32,29
Kenya,9,6
Czechia,698,1101
Egypt,130,84
Japan,123,680
Netherlands,481,737
Dominica,4,0
Réunion,13,17
Serbia,231,287
Uzbekistan,4,4
Georgia,40,38
Lao People's Democratic Republic,3,2
Belgium,161,207
Lithuania,76,103
Ireland,275,327
Poland,487,952
Turkey,264,257
"Virgin Islands, U.S.",0,2
Albania,15,15
Mexico,208,269
Dominican Republic,16,11
Côte d'Ivoire,3,1
Greece,85,83
Samoa,1,0
Slovenia,71,56
Paraguay,4,5
Nicaragua,4,2
Kuwait,111,82
Estonia,99,146
Saint Kitts and Nevis,0,1
Singapore,112,271
Sri Lanka,4,8
Tunisia,25,30
Åland Islands,4,3
Panama,7,6
Myanmar,0,2
Mauritius,8,9
Jamaica,6,10
Antigua and Barbuda,1,0
Hungary,537,594
Northern Mariana Islands,1,5
Norway,287,327
Afghanistan,1,0
Romania,423,510
Lebanon,38,22
China,1,11
Guernsey,3,7
Saudi Arabia,854,667
Cameroon,0,1
India,369,499
Malta,17,30
Croatia,264,275
Germany,1511,2393
Jersey,4,7
Rwanda,0,1
